Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2015-01-02,2.572509288787842,2.745658990260374,2.569761080529721,2.745658990260374,49559500
2015-01-05,2.3526370525360107,2.5257865030067697,2.3443916409070584,2.512044674509004,78385100
2015-01-06,2.275681495666504,2.4268439711535947,2.209719773962219,2.393863110301452,84723300
2015-01-07,2.382868766784668,2.3993590611514217,2.29766803886143,2.3526363857066173,85531000
2015-01-08,2.5367789268493652,2.5807536484750524,2.402107079050725,2.415849163176974,83306300
2015-01-09,2.6137349605560303,2.61373496055603,2.4543273852432175,2.5285342334226644,50813100
2015-01-12,2.4295918941497803,2.6329739546189823,2.415849806364883,2.5477734821479623,58728900
2015-01-13,2.4983019828796387,2.580754244573364,2.432340278368064,2.446082103559923,65834800
2015-01-14,2.4488306045532227,2.4625726920281843,2.3746237515620585,2.440585456911653,55736500
2015-01-15,2.558767795562744,2.5807550371524663,2.437837704710676,2.4735670378211236,80907800
2015-01-16,2.594496488571167,2.6467163763202635,2.539528392605189,2.599993429222043,56978300
2015-01-19,2.5202901363372803,2.6219812000517915,2.5147931945701454,2.5697615638070572,30873100
2015-01-20,2.558767795562744,2.7071818073476677,2.5147930502747045,2.6384716118526366,72842900
2015-01-21,2.720923662185669,2.7264206036887635,2.5615160281162876,2.597245361560611,48003500
2015-01-22,2.8116204738616943,2.874833976524212,2.740162084998183,2.775891410484208,74782400
2015-01-23,2.742910146713257,2.8610917353160312,2.7154262331113843,2.778639470293364,43659400
2015-01-26,2.7016844749450684,2.740162273213399,2.6549615278008663,2.6906908557410536,33202100
2015-01-27,2.7868847846984863,2.850098019712638,2.61923179040988,2.6714516700471074,58750400
2015-01-28,2.503798246383667,2.6219798106666508,2.45982378398306,2.591747433293351,106337900
2015-01-29,2.382868766784668,2.4955534060219966,2.292171361442013,2.48730825883862,111506300
2015-01-30,2.2811782360076904,2.2921718553237627,2.220713198715015,2.253694056663231,87497200
2015-02-02,2.4158504009246826,2.4158504009246826,2.2344555314252017,2.325152966174942,57585100
2015-02-03,2.7401621341705322,2.7484072826280244,2.4763150245539003,2.4763150245539003,98061700
2015-02-04,2.753903388977051,2.962782079994717,2.627476681780547,2.8308586961940856,117595000
2015-02-05,2.7016844749450684,2.8281112268455173,2.665955147004881,2.7099296238209405,78992700
2015-02-06,2.506547689437866,2.696187959838702,2.4378374997204624,2.693439489343948,117747100
2015-02-09,2.5835025310516357,2.6027415587016707,2.3966110292419596,2.4185982647489803,72534200
2015-02-10,2.4488306045532227,2.6934389228602824,2.4433339268283487,2.5340313372111707,75478700
2015-02-11,2.4955532550811768,2.525785634330655,2.4213464107020988,2.4570754670385333,48681100
2015-02-12,2.5972440242767334,2.6219797240874056,2.547772886763851,2.5697601172381237,61706000
2015-02-13,2.756652593612671,2.7758916239591747,2.654961549612943,2.6604584903143893,72282500
2015-02-18,2.7594006061553955,2.8418528682376483,2.7511554585797247,2.7923814585665934,42896700
2015-02-19,2.668703317642212,2.740161965497903,2.652212759633773,2.7374134954784086,38492400
2015-02-20,2.6494643688201904,2.72092274963431,2.619231724909881,2.6989355152132717,35272700
2015-02-23,2.6109867095947266,2.635722415096672,2.5807543262637505,2.6247287973300875,41168500
2015-02-24,2.720923662185669,2.720923662185669,2.635723165756481,2.65221346604857,48578000
2015-02-25,2.5835025310516357,2.5835025310516357,2.473566353516532,2.5010505289545693,96303900
2015-02-26,2.5367789268493652,2.616482962359918,2.5175401663376893,2.583501855613539,44179900
2015-02-27,2.6247286796569824,2.6494643840499648,2.5010504198005825,2.556018506169148,46969600
2015-03-02,2.5889999866485596,2.668703796763703,2.5477739773888066,2.5944966655658583,38009000
2015-03-03,2.630225419998169,2.69343891741171,2.6164835946595235,2.663206272606249,42133600
2015-03-04,2.547773599624634,2.597244750979422,2.5312830411006804,2.5862511326662987,48308500
2015-03-05,2.5395281314849854,2.5780059257590717,2.517540895359373,2.5587671596762935,52913800
2015-03-06,2.5422768592834473,2.5697610382812854,2.520289620928599,2.528534769784528,27181900
2015-03-09,2.4515788555145264,2.523037494315399,2.4460819161720773,2.5092954080677705,37625700
2015-03-10,2.3416435718536377,2.4680700790532257,2.3388951011470573,2.42684406688889,72090500
2015-03-11,2.4021079540252686,2.4268436620408766,2.3581334784902097,2.382869186505818,44035300
2015-03-12,2.3279013633728027,2.495554136415044,2.3196559516676745,2.4653217464886468,63029900
2015-03-13,2.2921714782714844,2.3059135656832,2.242700068432713,2.2674357733520987,72933500
2015-03-16,2.3059141635894775,2.3361465540474717,2.250945799689728,2.3333980834307675,53380500
2015-03-17,2.435089111328125,2.4543281433314985,2.286675107018891,2.2949205187811574,63896300
2015-03-18,2.5285353660583496,2.553271080567816,2.382869812079802,2.432341241098735,65324600
2015-03-19,2.4515788555145264,2.536779318454533,2.432340092032943,2.523037494315399,42857200
2015-03-20,2.534031629562378,2.569760956275963,2.4625729761352075,2.495553832615006,65339300
2015-03-23,2.5642635822296143,2.5944959633637805,2.528534261557325,2.5560184350309334,34124600
2015-03-24,2.5889999866485596,2.597245136078795,2.534031886932697,2.57525789619245,36392400
2015-03-25,2.69343900680542,2.718174712609573,2.61923188939296,2.6522127430956552,84659600
2015-03-26,2.5642635822296143,2.7374132460529377,2.5587669047999952,2.7264196290851954,58862000
2015-03-27,2.572509288787842,2.6412194753035183,2.5202896623636946,2.5560189908048736,51152500
2015-03-30,2.668703317642212,2.6796969356116622,2.5889995218365653,2.610986757775466,33372200
2015-03-31,2.654961347579956,2.72641999860966,2.6027417254327347,2.6329741106644375,46908300
2015-04-01,2.819866180419922,2.8500985688022147,2.712678192705048,2.729168753164477,59374600
2015-04-02,2.938047409057617,2.9462928200144645,2.795130359883496,2.795130359883496,69001800
2015-04-06,2.9435441493988037,3.020499478332974,2.935299001111563,2.968279856369065,45227600
2015-04-07,3.00126051902771,3.0122541367413875,2.8748337842661575,2.91331157731829,61721500
2015-04-08,2.9050657749176025,3.1139447453621596,2.883078542461174,3.050731517577049,73904600
2015-04-09,3.1826555728912354,3.188152513200502,2.907814848032866,2.9407957035628454,79280800
2015-04-10,3.2458689212799072,3.27884977523876,3.097454947410805,3.166165125352214,70021600
2015-04-13,3.37229585647583,3.5042192800295475,3.270604556517494,3.289843585700485,104809600
